id,title,genres,keywords,tagline,overview,cast,director,language
675,Donga Dongadi,Comedy,,,"A reckless young boy loses his father's trust after getting involved in eve-teasing. To prove that he is a responsible son, he leaves his house in search of a job and falls for the girl he had harassed.",Manchu Manoj Sadha Sunil Varma Manikka Vinayagam Rajiv Kanakala,Subramaniam Siva,te
676,Chakram,Drama Romance,,,"Chakram (Prabhas) is a foreign returnee and has a dream of building a hospital at Pulivendula. He is in love with his colleague, Lakshmi (Asin Thottumkal) who studied with him abroad. But leaves her half-way through after he realizes that he was struck with cancer. Not wanting to tell her, he moves to Hyderabad and stays in place called ‘Sahara Colony’. There, he tries to solve people problem's in the colony. Seeing all this, another girl who is also named Lakshmi (Charmy) falls in love with Chakram. The rest is a heart-rending saga of the cancer-struck patient's love station.",Prabhas Asin Thottumkal Charmy Kaur Prakash Raj Padmanabham,Pasupuleti Krishna Vamsi,te
677,Dharma Chakram,Drama,,,"The story is about a family in which mother and son together fight against father for the principles and human values. Srividhya, as a ditched wife, rises up her kid Rakesh (Venkatesh) with well behavior, manner and makes him a good lawyer to do justice to the fellow woman who are cheated brutally by their husbands. How Rakesh takes the revenge on his father for the injustice that he had done to his mother is the crux of the film.",Venkatesh Srividya Girish Karnad Ramya Krishnan Prema,Suresh Krishna,te
678,Life Is Beautiful,Comedy Drama Family,coming of age,,"The official synopsis for Life Is Beautiful says, ""It is a coming of age story of six youngsters, set in the beautiful nostalgic world of a working-middle class neighborhood. The film tracks their journey through the different seasons, festivals, romances, street cricket, colony fights, and family gatherings. With the beginning of responsibilities, and adulthood looming around the corner, their dreams and aspirations bring them all together, to make the whole experience magical. Life is Beautiful is a story about new beginnings. It is a celebration of life and its smaller joys",Abijeet Duddala Sudhakar Komakula Kaushik Darbha Rashmi Shastry Kavya,Sekhar Kammula,te
679,Shaadi Mubarak,Comedy Drama,,,"Madhav Sunnipenta returns to his homeland from Australia in search of the perfect bride. He hires a marriage bureau that arranges three match-making dates for him, with women from three different backgrounds. The marriage bureau’s owner sends her daughter Thupakula Satyabhama to pick up and accompany him to these dates. The two fall in love during this one-day trip but destiny has other plans for them.",Sagar RK Naidu Drishya Raghunath RJ Hemant Bhadram Ajay Ghosh,Padmasri,te
680,Vaana,Drama Romance,remake,,"Vaana (translation: Rain) is a 2008 Telugu film starring Vinay Rai and Meera Chopra in the lead roles, while Suman plays a supporting role. M.S. Raju produces and directs this film while debutant, Kamalakar composed music for the project. It is a remake of Kannada language film, Mungaru Male. The film was dubbed and released in Tamil as Gnabagangal Thaalattum.",Vinay Rai Meera Chopra Suman Talwar Jayasudha Seetha,,te
681,Keedaa Cola,Comedy Crime,,Swaasa Meeda Dhyaasa Osthunaam...,"Vaasthu, Lancham, and Thatha stumble upon a cockroach in a cola bottle and devise a plan to profit by filing a case in the consumer court. Simultaneously, Jeevan, an egocentric local thug with political aspirations, gains momentum as his brother, Naidu, is released from a 20-year prison sentence. The convergence of these two distinct worlds brings forth unexpected and hilarious consequences for everyone involved.",Chaitanya Rao Rag Mayur Brahmanandam Tharun Bhascker Jeevan Kumar,Tharun Bhascker,te
682,Pindam,Horror Thriller,,The Scariest Film Ever,"A powerful spirit that had never seen the face of earth, begins to threaten the life of a six-year-old girl with speech impairment. It's up to Annamma, the only demonologist, to rescue the family and uncover the spirit's true intentions.",Srikanth Kushee Ravi Easwari Rao Srinivas Avasarala Ravi Varma,Saikiran Daida,te
683,Seenu,Romance,,,"Shwetha falls in love with Seenu, whom she supposes to be speech-impaired. Seenu feels guilty and asks a doctor to cut off his tongue to win her love.",Venkatesh Twinkle Khanna Sudhakar Brahmaji Prakash Raj,Sasi,te
684,Zebra,Crime Action Thriller,,Luck Favors The Brave,"Surya is a street-smart bank employee, in a bid to protect his loved one, gets entangled in a complex multi-crore scam. He must do whatever it takes to prove his innocence.",Satyadev Kancharana Dhananjay Priya Bhavani Shankar Satya Sathyaraj,Eashvar Karthic,te
685,Sundari,Romance Thriller,,The ultimate decision of an innocent lady,A village girl is married to a software employee who is head over heels with her beauty. Life takes an unexpected turn when her husband loses his job and she is forced to take a few steps that she has to go through an emotional turmoil.,Poorna Arjun Ambati Rakendu Mouli Darbha Appaji Ambarisha Chatrapathi Sekhar,Kalyanji Gogana,te
686,Aakasa Ramanna,Fantasy,folklore,,Aakasa Ramanna is a Telugu language film starring Kanta Rao and Rajashree in lead roles. The film was released in the year 1965 and has been directed by G. Viswanathan. The producer of the film is S. Bhavan Narayana. Film picturization started on 31st December 1964 and released on 8th July 1965.,Kanta Rao Rajanala Kaleswara Rao Vanisri Rajasree Ramakrishna,G. Viswanatham,te
687,Bavagaru Bagunnara,Comedy Drama Romance,,,"In New Zealand, Raju meets and falls in love with Swapna. On a trip to India, he pretends to be the husband of a pregnant girl to help her face her family, unaware that the girl is Swapna's sister.",Chiranjeevi Rambha Paresh Rawal Rachana Banerjee Kota Srinivasa Rao,Jayant Paranji,te
688,Baadshah,Action Comedy,,,"Rama Rao fails to get a job with the police force due to his father's connections with a gangster. But when his brother is killed by the gangster, Rama Rao becomes Baadshah to oppose him.",N.T. Rama Rao Jr. Kajal Agarwal Brahmanandam Nassar Vennela Kishore,Sreenu Vaitla,te
689,Thellavarithe Guruvaram,Drama Comedy Romance,,,"A couple that’s about to the tie the knot hardly knows anything about each other. When they decide to run away from the wedding and are forced to spend the night together, will they realise they are in fact made for each other?",Sri Simha Chitra Shukla Misha Narang Harsha Chemudu Satya,Manikanth Gelli,te
690,Asura,Romance Action Thriller,jailor,,The story deals with the ego between a jailor(cop) and the prisoner who is subjected to death.,Nara Rohith Ravi Varma Priya Banerjee Sree Vishnu Satyadev Kancharana,Krishna Vijay,te
