id,title,genres,keywords,tagline,overview,cast,director,language
1,Laila,Comedy Romance,,,"Sonu Model, a renowned beautician from the old city, is forced to disguise himself as Laila, leading to a series of comedic, romantic, and action-packed events. Chaos ensues in this hilarious laugh riot",Vishwak Sen Akanksha Sharma Babloo Prithiveeraj Abhimanyu Singh Vineet Kumar,Ram Narayan,te
2,Devara : Part 1,Action Drama,sea ship red sea boat fear battle unassuming swords ships violence boats,When courage turns into a Disease... Fear is the only cure,"Devara, a fearless man from a coastal region, embarks on a perilous journey into the treacherous world of the sea to safeguard the lives of his people. Unbeknownst to him, his brother Bhaira is plotting a conspiracy against him. As events unfold, Devara passes on his legacy to his mild-mannered and timid son, Varada.",N.T. Rama Rao Jr. Saif Ali Khan Prakash Raj Srikanth Kalaiyarasan,Koratala Siva,te
3,Pushpa 2 - The Rule,Action Drama Thriller Crime,sequel ego clash,The rule begins.,"As his smuggling empire grows, a brazen Pushpa longs for power and respect on his vengeful journey, while facing old rivals and new.",Allu Arjun Rashmika Mandanna Fahadh Faasil Jagadeesh Bandari Rao Ramesh,Sukumar,te
4,RRR,Action Adventure Drama,rescue revolution liberation slavery male friendship freedom fighter british empire interracial romance historical fiction period drama historical 1920s history of india killed in action war,"Rise, Roar, Revolt.",A fictional history of two legendary revolutionaries' journey away from home before they began fighting for their country in the 1920s.,N.T. Rama Rao Jr. Ram Charan Olivia Morris Ray Stevenson Alison Doody,S. S. Rajamouli,te
5,Kalki 2898-AD,Drama Action Fantasy Science Fiction,rebellion temple dystopia villain desert religious statue futuristic society quest imperialism heroes kalki ancient temple indian folklore evil empire fantasy indian gods mahabharat,"When the world is taken over by darkness, a new force will arise.","In the year 2898 AD, around 6000 years after Kurukshetra war, Ashwatthama gears up for his final battle of redemption at the sign of hope in a dystopian world and Bhairava, a wisecracking and self-interested bounty hunter, tired of the perilous life becomes the hurdle in the process.",Amitabh Bachchan Prabhas Deepika Padukone Kamal Haasan Saswata Chatterjee,Nag Ashwin,te
6,Salaar: Part 1 - Ceasefire,Action Crime Drama,drama action salaar,THE MOST VIOLENT MEN... CALLED ONE MAN... THE MOST VIOLENT,"Set in the fictional dystopian city-state of Khansaar, the film follows the friendship between Deva, a tribesman, and Varadha, the prince of Khansaar. When a coup d'état is planned by his father's ministers and his relatives, Varadha enlists Deva's help to become Khansaar's undisputed ruler.",Prabhas Prithviraj Sukumaran Shruti Haasan Easwari Rao Jagapati Babu,Prashanth Neel,te
7,Pushpa: The Rise - Part 1,Action Drama Thriller,rags to riches smugglers sandalwood powerful,,"Pushpa Raj is a coolie who rises in the world of red sandalwood smuggling. Along the way, he doesn’t shy from making an enemy or two.",Allu Arjun Rashmika Mandanna Jagadeesh Bandari Sunil Varma Anasuya Bharadwaj,Sukumar,te
8,The Family Star,Family Romance Comedy Drama Action,,,"Govardhan, a devoted architect from Hyderabad, juggles supporting his extended family while seeking a partner who understands his commitments. When he discovers Indu thesis on his family, he challenges her, leading to unexpected twists as they navigate misunderstandings and eventually find love amidst sacrifice and understanding",Vijay Deverakonda Mrunal Thakur Rohini Hattangadi Vasuki Anand Abhinaya,Parasuram Petla,te
9,Game Changer,Action Drama,bureaucrat anti-corruption,The game is about to change!,"Ram, a newly appointed district collector, takes charge in a city in Andhra Pradesh and immediately confronts the deeply entrenched corruption and inefficiency plaguing the government. Determined to bring reforms, he initiates sweeping changes, sparking a fierce conflict with a powerful state Minister.",Ram Charan Anjali Kiara Advani S. J. Suryah Srikanth,Shankar,te
10,Court: State vs. A Nobody,Drama Romance Crime,trial courtroom legal battle hopeful,,"A determined lawyer takes on a high-stakes case to defend a 19-year-old boy, challenging a system that has already branded him guilty.",Priyadarshi Pullikonda Harsh Roshan Sridevi Sivaji Sontineni Sai Kumar,Ram Jagadeesh,te
11,Supreme,Romance Action Comedy,,,"A taxi driver and orphan join a battle to save royal heirs from a corrupt, greedy businessman.",Sai Durgha Tej Raashii Khanna Ravi Kishan Rajendra Prasad Posani Krishna Murali,Anil Ravipudi,te
12,Bāhubali: The Beginning,Action Adventure Fantasy Drama,kingdom medieval india ancient india bilingual,,"The young Shivudu is left as a foundling in a small village by his mother. By the time he’s grown up, it has become apparent that he possesses exceptional gifts. He meets the beautiful warrior princess Avanthika and learns that her queen has been held captive for the last 25 years. Shividu sets off to rescue her, discovering his own origins in the process.",Prabhas Rana Daggubati Tamannaah Bhatia Anushka Shetty Ramya Krishnan,S. S. Rajamouli,te
13,Lucky Baskhar,Drama Thriller Crime,money laundering anti hero bank employee investment,,A cash-strapped bank cashier embarks on a risky investment scheme and soon gets drawn into the murky world of money laundering.,Dulquer Salmaan Meenakshi Chaudhary Rajkumar Kasireddy Ramki Maganti Srinath,Venky Atluri,te
14,Bāhubali 2: The Conclusion,Action Adventure Fantasy,kingdom bilingual,,"When Mahendra, the son of Bāhubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",Prabhas Rana Daggubati Anushka Shetty Sathyaraj Nassar,S. S. Rajamouli,te
15,Geetha Govindam,Romance,,,"Vijay Govind, a young college lecturer who dreams of marriage falls for Geetha, a level-headed woman who's wary of strangers and isn't easy to convince. While things seem to go smoothly, Vijay makes a terrible mistake which not only derails any hope for his love story, but also potential repercussions with his family.",Vijay Deverakonda Rashmika Mandanna Vennela Kishore Subbaraju Rahul Ramakrishna,Parasuram Petla,te
16,Salaar: Part 2 - Shouryaanga Parvam,Action,action salaar,,,Prabhas Prithviraj Sukumaran Shruti Haasan Easwari Rao Jagapati Babu,Prashanth Neel,te
17,Hi Nanna,Drama Family Romance,,,"Six-year-old Mahi, a spirited child with cystic fibrosis, shares a deep yet complex bond with her father, Viraj, a dedicated single parent and successful fashion photographer. Her curiosity about her absent mother leads to a journey of discovery when she runs away with her loyal dog, Pluto. A chance encounter with a kind woman named Yashna sparks unexpected revelations, intertwining their lives in ways they never anticipated. Set against a backdrop of love, sacrifice, and redemption, Mahi’s story is a heartfelt exploration of family, resilience, and the enduring power of connection.",Nani Mrunal Thakur Baby Kiara Khanna Jayaram Shilpa Tulaskar,Shouryuv,te
18,Manamey,Drama Family,,,"A charismatic playboy's life takes an unexpected turn when a young boy enters his world. Initially causing chaos, the boy gradually becomes an integral part of their lives.",Sharwanand Krithi Shetty Vikram Adhitya Vennela Kishore Rahul Ramakrishna,Sriram Adittya,te
19,Hanu-Man,Fantasy Action Comedy Science Fiction,hanuman prasanth varma cinematic universe,The Most Powerful Superhero In The Universe,"In a small village, Hanumanthu, a petty thief, finds a mysterious gem, that gives him god-like powers. Will he succeed in keeping these powers from falling into the wrong hands and save his village?",Teja Sajja Vinay Rai Amritha Aiyer Varalaxmi Sarathkumar Vennela Kishore,Prasanth Varma,te
20,Adhurs,Action Comedy Drama,double act,,"Twin brothers who are separated at birth receive different upbringing. After they grow up, they chance upon each other when one of them gets kidnapped by hoodlums.",N.T. Rama Rao Jr. Nayanthara Brahmanandam Sheela Kaur M. S. Narayana,V. V. Vinayak,te
21,Sita Ramam,History Romance Drama,loving love in war pure love intense romantic classic admiring awestruck vibrant pure heart,A love story written with war,"Afreen, a rebellious Pakistani student sets ablaze the car of an Indian in London. Angered Afreen returns to Pakistan to ask for money from her grandfather that she has to pay in a month's time as damages. However, she gets to know that he is no more and the only thing he has left for her is a letter-delivering task, written by Ram to Sita. As Afreen sets out to find Ram, there begins her journey of discovering the secret behind the 20-year-old letter.",Dulquer Salmaan Mrunal Thakur Rashmika Mandanna Sumanth Gautham Vasudev Menon,Hanu Raghavapudi,te
22,Guntur Kaaram,Action Drama,,Highly Inflammable,"Years after his mother left him and remarried, Ramana is asked to sign documents denying any relations with his mother, but he refuses and demands answer to why his mother left him.",Mahesh Babu Sreeleela Ramya Krishnan Prakash Raj Jayaram,Trivikram Srinivas,te
23,Eagle,Action Thriller,,,"A journalist pieces together the story of Eagle, a former professional sniper who falls in love with Rachana, and on a mission to redeem himself by working towards eradicating illegal arms from this world.",Ravi Teja Anupama Parameswaran Kavya Thapar Navdeep Vinay Rai,Karthik Ghattamaneni,te
24,Gaami,Adventure Thriller Science Fiction Fantasy,spiritualism sacred journey hindu mythology mystical quest mystical character indian folklore aghora fantasy shiva,"His Biggest Fear is Human Touch.  His Deepest Desire is also, Human Touch.","Shankar is a wounded, reluctant and reclusive aghora on a quest to find the cure for his very rare human condition – the one that will be cured, only when he can confront and conquers the haunting ironical questions of his life.",Vishwak Sen Mohammad Samad Harika Pedada Chandini Chowdary Abhinaya,Vidyadhar Kagita,te
25,Murari,Drama Romance Thriller,,,"Circa 1800s, an intoxicated Jamindar insults Durga Devi by stealing her temple idol. Enraged, Devi kills him and places a curse on his heirs that, every 48 years, she will take one family member. And every 48 years, a male heir meets an unfortunate, accidental end. Come present day (the end of another 48 years), it's Murari's turn.",Mahesh Babu Sonali Bendre Lakshmi Sukumari Kaikala Satyanarayana,Pasupuleti Krishna Vamsi,te
26,Evaru,Thriller Crime,rape victim murder investigation,All answers shall be Questioned,"When a high-ranking police officer is killed by his alleged rape victim, Sub-inspector Vikram Vasudev is entrusted with investigating what seems like an open-and-shut case. However, as he delves deeper, Vikram finds the case spiralling into a dark tale filled with unexpected surprises.",Adivi Sesh Regina Cassandra Naveen Chandra Murali Sharma Pavitra Lokesh,Venkat Ramji,te
27,Robinhood,Action,,All Indians are my brothers & sisters ...,"Ram, a modern-day Robin Hood, is a master thief who unexpectedly finds himself switching sides. When fate forces him to become the personal security officer for Neera, a rollercoaster ride of action, comedy, and unexpected twists follows.",Nithiin Sreeleela Vennela Kishore Rajendra Prasad Ketika Sharma,Venky Kudumula,te
28,Radha,Action Comedy Romance,,,"Radha Krishna, a young boy gets inspired to become a police officer following his belief that Lord Krishna rescued him in the avatar of a cop when he was a child, and does so. Radha Krishna is transferred to Hyderabad, where a bomb goes off at politician Sujatha's election campaign. Radha vows to take revenge, only to discover that all is not what it seems.",Sharwanand Ravi Kishan Lavanya Tripathi Aksha Pardasany Saptagiri,Chandra Mohan Chintada,te
29,Saaho,Action Adventure Thriller,truck gunfight motorcycle chase action hero,,"A battle for power ensues as warring gangters thrive to gain possession of a ""black box"" that can make them richer than they already are, and an undercover cop intervenes with the help of his sharp intellect and an instinct to kill.",Prabhas Shraddha Kapoor Neil Nitin Mukesh Chunky Pandey Mandira Bedi,Sujeeth,te
30,Amigos,Action Thriller,,"They say when you meet somebody that looks just like you, you die.","Siddharth, a youngman who runs a family business is astonished to find his doppelgängers Manjunath and Michael on getdopple.com. After meeting up in Goa, they come down to Hyderabad to help Siddarth win over Ishika, a girl looking for superman to be her husband. But things take a drastic turn when NIA swings into action to nab Michael, aka Bipin Roy.",Kalyan Ram Ashika Ranganath Brahmaji Jayaprakash Saptagiri,Rajendra Reddy,te
31,Ala Vaikunthapurramuloo,Action Comedy Drama,coma exchange hospital class differences rich neglected child poor child exchange,,"Fate plays a vital role in connecting the life of Bantu, a son who seeks validation from his cold-hearted father with the life of Raj, whose millionaire father wishes that he was more assertive.",Allu Arjun Pooja Hegde Murali Sharma Jayaram Sushanth,Trivikram Srinivas,te
32,Rakshasudu,Crime Thriller Action,psychopath serial killer,,"Arun, a newly recruited sub-inspector, sets out in pursuit of a mysterious serial killer who targets young girls and murders them. After a series of murders, Arun confirms that it's being done by a psychopath with an anti-social disorder. The killer continues his spree, but Arun is no mood to stop his pursuit.",Bellamkonda Srinivas Anupama Parameswaran Rajiv Kanakala Y. Kasi Viswanath Suzane George,Ramesh Varma,te
33,Thank You,Romance Drama,,,"Abhiram aka Abhi is a successful entrepreneur who calls himself ‘self-made’ and doesn’t believe anyone but himself is the reason for his success. But when he’s forced to look back on life, what does he realise?",Naga Chaitanya Akkineni Raashii Khanna Malavika Nair Sai Sushanth Reddy Avika Gor,Vikram Kumar,te
34,Eega,Fantasy Action,afterlife reincarnation revenge murder torture bilingual,THE FLY,"Nani is a flower decorator, madly in love with his neighbor Bindhu. He gets killed by the baddie, Sudeep, a powerful businessman. Nani comes back as a housefly to get his revenge.",Sudeep Samantha Ruth Prabhu Nani Adithya Menon Thagubothu Ramesh,S. S. Rajamouli,te
35,Hello!,Action Family Music Romance,foster parents family relationships destiny childhood love adopted son lovestory,,"Avinash/Seenu is a street urchin brought up by his loving adoptive parents Saru and Prakash. The love of his life is the girl he meets during childhood Junnu/Priya, whom fate had snatched away from him. Fourteen long years and they still wait for the day they will meet again. Will destiny help them?",Akhil Akkineni Kalyani Priyadarshan Ramya Krishnan Jagapati Babu Ajay,Vikram Kumar,te
36,Janatha Garage,Action Drama,garage environmental,All repairs are done here...,"Anand is an environmental activist who lives in Mumbai. A chance exchange programme takes him to Hyderabad and here, a chance encounter with Satyam results in him taking over the Janatha Garage from the latter.",N.T. Rama Rao Jr. Mohanlal Unni Mukundan Samantha Ruth Prabhu Nithya Menen,Koratala Siva,te
37,Odela Railway Station,Action Romance,,,"A string of murders terrorise the people of Odela village, and every newly wed girl in the village is the murder’s target. A bright young police officer is determined to find the culprit and stop the next murder from happening while anxious villagers await closure. But, unfortunately, everyone’s a suspect, and the clock is ticking.",Sai Ronak Hebah Patel Vasishta N. Simha Pujita Ponnada Surender Reddy,Ashok Teja,te
38,Sankranthiki Vasthunam,Action Comedy,,,"When a renowned tech entrepreneur is kidnapped upon returning to India, a police officer recruits her ex-boyfriend, a former cop now living a quiet family life, to assist in the rescue mission.",Venkatesh Aishwarya Rajesh Meenakshi Chaudhary Upendra Limaye Sai Kumar,Anil Ravipudi,te
39,Agent,Action Thriller,,The Wild One,"Ramakrishna aka Ricky's only one goal in life is to be a RAW recruitee and undertake some Planet-saving mission. Mahadev, RAW head, ropes him in for the most important mission ever known and unknown to even the Prime Minister of India. Ricky must tame The God, the megalomaniacal lynchpin of a giant-sized crime syndicate.",Akhil Akkineni Mammootty Dino Morea Sakshi Vaidya Sampath Raj,Surender Reddy,te
40,Raja Vikramarka,Action Thriller,,,"Vikram is a newly recruit N.I.A. Officer who is getting accustomed with the nuances of his new job, has to handle his first major case due to ironic circumstances, during the course of which his life takes a drastic turn in all aspects.",Kartikeya Gummakonda Tanya Ravichandran Sai Kumar Pasupathy Tanikella Bharani,Sri Saripalli,te
41,Swathi Muthyam,Romance Family,,,"Balamurali, a government employee, gets ready to marry Bhagyalakshmi as soon as he meets her in an arranged marriage setup. Everything goes on smoothly until there comes a day when it is revealed that the groom has fathered a child in the past.",Bellamkonda Ganesh Varsha Bollamma Vennela Kishore Naresh Rao Ramesh,Lakshman K Krishna,te
42,Nootokka Jillala Andagadu,Comedy,,,A man suffering from male pattern baldness does his best to cover up his insecurity. What happens when he falls in love and it’s time to come clean?,Srinivas Avasarala Ruhani Sharma Rohini Sivannarayana Naripeddi Krishna Bhagavan,Rachakonda Vidya Sagar,te
43,Krishna and His Leela,Romance Comedy,,,"Torn between his past and present girlfriends, a confused bachelor’s indecisiveness spins a web of lies and cheating as he struggles to commit.",Siddhu Jonnalagadda Shraddha Srinath Seerat Kapoor Shalini Vadnikatti Samyukta Hornad,Ravikanth Perepu,te
44,Navaratri,Comedy Drama Romance,,,"Radha's father brings a marriage proposal for her, which she refuses and runs away from home. Later, she comes across nine people, each representing a specific human behaviour.",Nageshwara Rao Akkineni Savitri Kongara Jaggayya Chittoor V. Nagayya Gummadi,Rama Rao Tatineni,te
45,F3: Fun and Frustration,Comedy Romance Family,,,"Venky and Varun Yadav are ordinary guys with ordinary lives. Their struggle is all about money. One day they hear about a wealthy industrialist in Vijayanagaram who is looking for his heir. What happens when Venky, Varun and the gang arrive at his doorsteps pretending to be his heir.",Venkatesh Varun Tej Tamannaah Bhatia Mehreen Pirzada Rajendra Prasad,Anil Ravipudi,te
46,Darling,Drama Romance,,,"Prabha prepares to meet Nandini, his childhood friend, at a reunion party organised by his father. However, things take a turn when Nisha, a gangster's daughter, falls in love with him.",Prabhas Kajal Agarwal Prabhu Tulasi Ahuti Prasad,A. Karunakaran,te
47,Mahanati,Drama,biography autobiography crying director secret marriage savitri love marriage,Come Be A Part of History,"Mahanati depicts the life and career of one of Telugu cinema's greatest and most iconic starlets, the first Indian female super star, Savitri.",Keerthy Suresh Dulquer Salmaan Samantha Ruth Prabhu Vijay Deverakonda Prakash Raj,Nag Ashwin,te
48,The Raja Saab,Horror Comedy Romance,horror comedy horror romance,,"A young heir embraces both his royal heritage and rebellious spirit as he rises to power, establishing unprecedented rules during his reign as Raja Saab.",Prabhas Malavika Mohanan Nidhhi Agerwal Riddhi Kumar Brahmanandam,Maruthi Dasari,te
49,Khushi,Drama Romance Comedy,egomaniac college love,,"College friends Siddhu and Madhumati part ways due to a misunderstanding. Although they are in love and realize they cannot live without each other, their egos prevent them from uniting.",Pawan Kalyan Bhumika Chawla Sudhakar Sivaji Sontineni Nassar,S. J. Suryah,te
50,Karthikeya,Mystery Thriller,temple hindu mythology,The mystery of the closed Subramanian Swamy temple.,Nikhil Siddharth and Swathi Reddy are back once again onscreen with Karthikeya. The mystery of the Subramanian Swamy temple which has remained closed for years is the crux of the movie. Local people in the village are curious why the temple has been locked up for years? The lead protagonists take the initiative to solve the mystery.,Nikhil Siddhartha Swathi Reddy Praveen Satya Tanikella Bharani,Chandoo Mondeti,te
51,Maharshi,Drama Action,businessman millionaire telugu downtrodden farmers,Join the journey of Rishi,"Rishi Kumar is a billionaire and the CEO of Origins, someone who has always strived for the success he now owns. His friend Ravi needs help, how will he come through?",Mahesh Babu Pooja Hegde Allari Naresh Jagapati Babu Prakash Raj,Vamsi Paidipally,te
52,Arjun Reddy,Drama Romance,depression self-destruction drug addiction break-up alcoholic impulsive mentally unstable short temper,,"A brilliant but impulsive young surgeon spirals into self-destruction after a painful breakup, struggling to cope with love, loss, and the consequences of his own temper.",Vijay Deverakonda Shalini Pandey Rahul Ramakrishna Kamal Kamaraju Kanchana,Sandeep Reddy Vanga,te
53,Most Eligible Bachelor,Romance Drama,romance love family drama,,"A well-educated, ‘settled’ NRI falls for a stand-up comedian and wants to marry her. But when she knows what she wants from her husband, will he fit the bill?",Akhil Akkineni Pooja Hegde Jayaprakash Aamani Murali Sharma,Bhaskar,te
54,Liger,Action Romance,,Saala Crossbreed,"The journey of Liger, from Karimnagar to Mumbai, from a nobody to a competitor, in his search for recognition while navigating his weaknesses, relationships, and love life.",Vijay Deverakonda Ananya Panday Ramya Krishnan Ronit Roy Makrand Deshpande,Puri Jagannadh,te
55,Tuck Jagadish,Drama Action Family,village land war,,"In a village with greedy property fights among the families, Jagadish carries on his father's legacy to reform all the property issues in his village while trying to reunite his family, which is also split due to property issues.",Nani Ritu Varma Jagapati Babu Daniel Balaji Aishwarya Rajesh,Shiva Nirvana,te
56,Daaku Maharaaj,Action,,,A man defends a beleaguered rural community from murderous drug-traffickers.,Nandamuri Balakrishna Bobby Deol Pragya Jaiswal Shraddha Srinath Vedha Agarwal,Bobby Kolli,te
57,KA,Action Thriller Crime,sex trafficking abduction ka telugu,,"Set in 1970s Abhinaya Vasudev, an orphaned and happy-go-lucky postman, treats the Krishnagiri village populace as his extended family. When several women missing and Vasudev’s loved one is nearly abducted, he is determined to find answers.",Kiran Abbavaram Nayan Sarika Tanvi Ram Ajay Redin Kingsley,Sujith,te
58,Ninnila Ninnila,Comedy Romance,chef,,"In London, Dev, an overweight, genius chef who suffers with muscle spasms, meets Tara and love blossoms, but things take an interesting turn when he crosses paths with Maya.",Ashok Selvan Ritu Varma Nithya Menen Nassar Satya,Ani I. V. Sasi,te
59,Pelli Choopulu,Romance Comedy,arranged marriage marriage love first date,,"Fed up with his carefree attitude, Prasanth's father fixes his marriage to make him responsible. However, meeting an ambitious girl changes his life for the better.",Vijay Deverakonda Ritu Varma Priyadarshi Pullikonda Abhay Bethiganti Nandu Vijay Krishna,Tharun Bhascker,te
60,Oopiri,Drama Family Romance,friendship male friendship paralyzed,Celebration of Life,"A convict out on parole finds employment as the caretaker of a multi-millionaire, who is paralysed from neck down.",Nagarjuna Akkineni Karthi Tamannaah Bhatia Jayasudha Prakash Raj,Vamsi Paidipally,te
61,Athadu,Action Thriller Family,assassination politics romance crime suspense comedy,WANTED,"A professional killer is hired to fake the assassination of a politician. However, when the politician is killed and he is framed for his murder, he takes on a dead man's identity to escape the law.",Mahesh Babu Trisha Krishnan Prakash Raj Nassar Kota Srinivasa Rao,Trivikram Srinivas,te
62,Shyam Singha Roy,Romance Thriller Drama,,,"A young filmmaker is in a soup right when he’s about to find his footing in the film industry. When he sets out to find an answer, turns out it’s in the past.",Nani Sai Pallavi Krithi Shetty Madonna Sebastian Murali Sharma,Rahul Sankrityan,te
63,Yashoda,Crime Thriller Drama,,,"Looking to save her sister, Yashoda, a desperate woman agrees to be a surrogate and move in to a plush facility - but nothing is as it seems. In the world outside Eva, a Hollywood starlet dies under mysterious circumstances, so do a tycoon and a super model. An unknown drug seem to hold the key to the whole mystery.",Samantha Ruth Prabhu Varalaxmi Sarathkumar Unni Mukundan Madhurima Narla Rao Ramesh,Hareesh Narayan,te
64,Sarileru Neekevvaru,Action,army,,A tough army major is deployed to Kurnool on a mission to keep the country safe from external threats.,Mahesh Babu Vijayashanti Rashmika Mandanna Prakash Raj Sangeetha Krish,Anil Ravipudi,te
65,SSMB29,Action Adventure,treasure epic battle globetrotting treasure hunter epic fights heroes action adventure jungle adventure,,"Upcoming movie from S. S. Rajamouli starring Mahesh Babu, touted to be an Indiana Jones-esque globe-trotting action adventure.",Mahesh Babu Priyanka Chopra Jonas Prithviraj Sukumaran,S. S. Rajamouli,te
66,Ekkadiki Pothavu Chinnavada,Romance Thriller,supernatural possessed,,A visual effects artist gets possessed by an evil spirit and tries to get rid of it until he meets another innocent soul possessed by spirits.,Nikhil Siddhartha Nandita Swetha Hebah Patel Satya Vennela Kishore,Vi Anand,te
67,Raja the Great,Action Comedy,blind man,,Raja is a blind man who's trained by his head constable mother to use his disability to his advantage. Lucky is the pampered daughter of a police officer and they're each other's whole world. What happens when Lucky's world is shaken by a goon Deva? How does Raja fit into this picture?,Ravi Teja Mehreen Pirzada Srinivasa Reddy Vivan Bhatena Radikaa Sarathkumar,Anil Ravipudi,te
68,Devil,Action History Thriller Mystery,secret agent,The British Secret Agent,"A British secret agent takes up the job of solving a dark mystery. He is led into a web of love, deceit and betrayal. His success and failure can change the course of history.",Kalyan Ram Samyuktha Malavika Nair Satya Vasishta N. Simha,Abhishek Nama,te
69,Radhe Shyam,Drama Romance,europe romance,It's all written in the stars.,"Vikramaditya, a world-renowned palmist, believes love does not exist in his stars, until he meets Prerana. But when destiny tries to pull them apart, will love prevail?",Prabhas Pooja Hegde Sachin Khedekar Krishnam Raju Sathyaraj,Radha Krishna Kumar,te
70,Bharat Ane Nenu,Drama Action,political heir,,"Bharat, a graduate raised in London clueless about the future becomes the Chief Minister of Andhra Pradesh due to the circumstances. New to India and with no political knowledge he learns the ropes quickly and governs efficiently. However, while he endears himself to the crowd, he makes enemies out of the political class, including his own party members who create trouble for him and try to stop him from bringing in changes in the society.",Mahesh Babu Kiara Advani Prakash Raj R. Sarathkumar Aamani,Koratala Siva,te
71,Mayabazar,Fantasy Drama Comedy,krishna abhimanyu sasirekha,,"Balarama promises Subhadra that he'll marry his daughter to her son. But when the Pandavas loses their kingdom to the Kauravas, Balarama breaks his promise.",N.T. Rama Rao S. V. Ranga Rao Savitri Nageshwara Rao Akkineni Gummadi,Kadri Venkata Reddy,te
72,Untitled Gummadi Narsaiah Biopic,Drama History,biography communism 1990s 2000s indian politics political drama,,"A biography of Indian politician Gummadi Narsaiah, who was a leading member of the Communist Party of India New Democracy.",Samuthirakani,Parameshwar Hivrale,te
73,Nene Raju Nene Mantri,Action Romance Thriller,corrupt politician political satire political thriller,,"Nene Raju Nene Mantri is the story of Radha Jogendra and the love of his life, Radha. His whole world revolves around her and he can go to any lengths to make her happy. But what happens when such profound love takes the shape of cavernous ambition?",Rana Daggubati Kajal Agarwal Catherine Tresa Navdeep Ashutosh Rana,Teja,te
74,Bhola Shankar,Action Crime Drama Thriller,remake brother sister ,,"A reformed gangster now taxi driver unwittingly draws the vengeance of a crime syndicate after aiding the police in busting a smuggling operation. Fueled by a burning desire for justice and to protect his adopted sister, he embarks on a relentless quest to hunt down the mobsters responsible.",Chiranjeevi Keerthy Suresh Tamannaah Bhatia Sushanth Murali Sharma,Meher Ramesh,te
75,Major,Action History Drama,hotel operation escape wife gun war on terror based on true story attack terrorism parent terrorist attack military 2000s radical islam terror attack,Jaan Doonga Desh Nahi,"This biopic follows the life of Indian Army officer Major Sandeep Unnikrishnan, from his childhood to his heroic actions during the 2008 Mumbai attacks.",Adivi Sesh Saiee Manjrekar Sobhita Dhulipala Murali Sharma Prakash Raj,Sashi Kiran Tikka,te
76,Aravindha Sametha,Action Drama,,,A young scion of a powerful family with a long history of violence decides to put an end to the bloodshed which leads him to a path of self discovery.,N.T. Rama Rao Jr. Pooja Hegde Jagapati Babu Naveen Chandra Eesha Rebba,Trivikram Srinivas,te
77,Raju Gari Gadhi 2,Crime Horror Thriller,haunted hotel,,"Three friends — Ashwin, Kishore and Praveen get into business by purchasing a resort. Pretty soon, they find that they've got more than what they've bargained for. Apparently, the resort is haunted by a ghost. Unwilling to sell the resort, they seek the help of a mentalist, Rudra, to exorcise the ghost.",Nagarjuna Akkineni Samantha Ruth Prabhu Seerat Kapoor Ashwin Babu Vennela Kishore,Ohmkar,te
78,Jawaan,Thriller Action Crime,terrorist plot bomb attack defence research,,Jai  is a patriotic man for whom the nation always comes first. He harbours the dream to work for the DRDO and wants nothing else from life. But what happens when an evil mastermind Keshav makes a plan to harm the nation?,Sai Durgha Tej Mehreen Pirzada Prasanna Satyam Rajesh Kota Srinivasa Rao,BVS Ravi,te
79,Gautamiputra Satakarni,History Drama Action,2nd century,,"The emperor of Satavahana kingdom, Satakarni comes across many challenges when he attempts to convince his wife that their son is bound to take part in battles and vanquish his enemies.",Nandamuri Balakrishna Shriya Saran Hema Malini Shivaraj Kumar Kabir Bedi,Radha Krishna Jagarlamudi,te
80,Naa Peru Surya - Naa Illu India,Action,anger management army officer,,"Despite having serious anger management issues, Surya, an Indian Army officer is a brilliant officer but when anger takes control of him he is impossible to subdue. In spite of this issue, he achieves his goal of serving the country by overcoming the hurdles.",Allu Arjun Arjun Sarja Nadhiya Anu Emmanuel R. Sarathkumar,Vakkantham Vamsi,te
81,Saripodhaa Sanivaaram,Action Thriller,,,"Set in Sokulapalem, bound by a promise to his mother, Surya, an LIC agent leads a normal life on six days, maintains a careful ledger of everyone made him angry,unleashing his anger only on Saturdays, solely for justifiable reasons. A tragic incident pits him on a collision course with the ruthless and borderline-manic cop Daya.",Nani S. J. Suryah Priyanka Arul Mohan Sai Kumar Murali Sharma,Vivek Athreya,te
82,Matka,Action Crime,bet casino crime boss betting,,"Set between the years 1958 and 1982, Matka tells the story of Vasu, who rises from poverty to create a powerful gambling empire in India, ultimately leading the nation into a battle with the government. Based on real events, the tale explores themes of love, moral choices, and the consequences of ambition.",Varun Tej Meenakshi Chaudhary Nora Fatehi Naveen Chandra Ajay Ghosh,Karuna Kumar,te
83,Amma Cheppindi,Drama Thriller,mentally disabled small town bomb threat rocket science,,"A mentally underdeveloped boy stays with his family; the people who live in his neighbourhood consider him to be less intelligent, until he saves everyone from a bomb threat in a rocket centre during a prominent event.",Sharwanand Suhasini Maniratnam Sriya Reddy Pavan Malhotra Nagendra Babu,Gangaraju Gunnam,te
84,Tiger Nageswara Rao,History Action,period film based on real person,Feel the Silence Before the Hunt,"Based on the life of the notorious thief Nageswara Rao, who was the most wanted thief of south India& managed to evade the authorities on several occasions in the 1970s, earning him the moniker of 'Tiger.'",Ravi Teja Anupam Kher Gayatri Bhardwaj Nupur Sanon Renu Desai,Vamsee Krishna,te
